User_ID,Is_Response
id80132,not happy
id80133,not happy
id80134,not happy
id80135,not happy
id80136,not happy
id80137,not happy
id80138,not happy
id80139,not happy
id80140,not happy
id80141,not happy
id80142,not happy
id80143,not happy
id80144,not happy
id80145,not happy
id80146,not happy
id80147,not happy
id80148,happy
id80149,not happy
id80150,not happy
id80151,not happy
id80152,not happy
id80153,not happy
id80154,not happy
id80155,happy
id80156,not happy
id80157,happy
id80158,not happy
id80159,not happy
id80160,not happy
id80161,happy
id80162,not happy
id80163,not happy
id80164,not happy
id80165,not happy
id80166,not happy
id80167,not happy
id80168,not happy
id80169,not happy
id80170,not happy
id80171,not happy
id80172,not happy
id80173,not happy
id80174,happy
id80175,not happy
id80176,not happy
id80177,not happy
id80178,not happy
id80179,not happy
id80180,not happy
id80181,not happy
id80182,happy
id80183,not happy
id80184,not happy
id80185,not happy
id80186,not happy
id80187,not happy
id80188,not happy
id80189,not happy
id80190,not happy
id80191,not happy
id80192,not happy
id80193,not happy
id80194,not happy
id80195,not happy
id80196,not happy
id80197,not happy
id80198,not happy
id80199,not happy
id80200,not happy
id80201,not happy
id80202,not happy
id80203,not happy
id80204,not happy
id80205,not happy
id80206,not happy
id80207,happy
id80208,not happy
id80209,not happy
id80210,not happy
id80211,not happy
id80212,not happy
id80213,not happy
id80214,not happy
id80215,not happy
id80216,not happy
id80217,not happy
id80218,not happy
id80219,happy
id80220,not happy
id80221,not happy
id80222,not happy
id80223,not happy
id80224,not happy
id80225,not happy
id80226,not happy
id80227,not happy
id80228,not happy
id80229,not happy
id80230,not happy
id80231,not happy
id80232,not happy
id80233,not happy
id80234,happy
id80235,not happy
id80236,not happy
id80237,not happy
id80238,not happy
id80239,not happy
id80240,not happy
id80241,not happy
id80242,not happy
id80243,not happy
id80244,happy
id80245,not happy
id80246,not happy
id80247,not happy
id80248,not happy
id80249,not happy
id80250,not happy
id80251,not happy
id80252,not happy
id80253,not happy
id80254,not happy
id80255,happy
id80256,not happy
id80257,not happy
id80258,not happy
id80259,not happy
id80260,not happy
id80261,not happy
id80262,not happy
id80263,happy
id80264,not happy
id80265,not happy
id80266,not happy
id80267,not happy
id80268,not happy
id80269,not happy
id80270,not happy
id80271,not happy
id80272,not happy
id80273,not happy
id80274,not happy
id80275,not happy
id80276,not happy
id80277,not happy
id80278,not happy
id80279,not happy
id80280,not happy
id80281,not happy
id80282,not happy
id80283,not happy
id80284,not happy
id80285,not happy
id80286,not happy
id80287,not happy
id80288,not happy
id80289,not happy
id80290,happy
id80291,not happy
id80292,happy
id80293,not happy
id80294,not happy
id80295,not happy
id80296,not happy
id80297,happy
id80298,not happy
id80299,not happy
id80300,not happy
id80301,not happy
id80302,not happy
id80303,not happy
id80304,not happy
id80305,not happy
id80306,not happy
id80307,not happy
id80308,not happy
id80309,not happy
id80310,not happy
id80311,not happy
id80312,happy
id80313,not happy
id80314,not happy
id80315,not happy
id80316,not happy
id80317,not happy
id80318,not happy
id80319,not happy
id80320,not happy
id80321,not happy
id80322,not happy
id80323,not happy
id80324,not happy
id80325,not happy
id80326,not happy
id80327,not happy
id80328,happy
id80329,not happy
id80330,not happy
id80331,not happy
id80332,not happy
id80333,not happy
id80334,happy
id80335,not happy
id80336,not happy
id80337,not happy
id80338,not happy
id80339,not happy
